Nonimmigrant Visa Issuances by Nationality                                                      August 2024 (FY 2024),,
Nationality,Visa Class,Issuances
Afghanistan,B1/B2,165
Afghanistan,F1,88
Afghanistan,F2,2
Afghanistan,G4,30
Afghanistan,H1B,1
Afghanistan,H4,7
Afghanistan,J1,4
Afghanistan,K1,12
Afghanistan,O1,1
Albania,A2,36
Albania,B1/B2,"2,393"
Albania,C1/D,17
Albania,F1,53
Albania,G2,3
Albania,G4,6
Albania,H1B,4
Albania,H4,1
Albania,J1,12
Albania,J2,1
Albania,K1,11
Albania,L2,1
Albania,NATO2,7
Albania,P3,3
Algeria,A1,8
Algeria,A2,3
Algeria,B1/B2,"1,769"
Algeria,C1,3
Algeria,D,11
Algeria,E2,1
Algeria,F1,57
Algeria,F2,3
Algeria,G1,7
Algeria,G2,7
Algeria,G4,3
Algeria,H1B,1
Algeria,I,5
Algeria,J1,45
Algeria,J2,1
Algeria,K1,11
Algeria,L1,1
Algeria,P3,1
Andorra,F1,2
Andorra,J1,1
Andorra,O1,1
Angola,A2,43
Angola,B1/B2,288
Angola,B2,1
Angola,C1/D,12
Angola,F1,33
Angola,F2,2
Angola,G1,3
Angola,G2,33
Angola,J1,4
Angola,K1,1
Angola,L1,4
Angola,L2,15
Angola,M1,1
Anguilla,F1,1
Antigua and Barbuda,A1,2
Antigua and Barbuda,A2,4
Antigua and Barbuda,B1/B2,219
Antigua and Barbuda,B2,5
Antigua and Barbuda,C1/D,2
Antigua and Barbuda,F1,13
Antigua and Barbuda,G4,2
Antigua and Barbuda,H1B,1
Antigua and Barbuda,L1,1
Antigua and Barbuda,M1,1
Argentina,A1,1
Argentina,A2,33
Argentina,B1,3
Argentina,B1/B2,"31,271"
Argentina,B2,43
Argentina,C1,7
Argentina,C1/D,149
Argentina,C3,4
Argentina,E1,1
Argentina,E2,86
Argentina,F1,149
Argentina,F2,8
Argentina,G2,5
Argentina,G4,38
Argentina,H1B,26
Argentina,H2A,28
Argentina,H4,17
Argentina,I,8
Argentina,J1,209
Argentina,J2,20
Argentina,K1,27
Argentina,K2,1
Argentina,L1,57
Argentina,L2,74
Argentina,M1,9
Argentina,M2,1
Argentina,O1,31
Argentina,O2,21
Argentina,O3,15
Argentina,P1,72
Argentina,P3,13
Argentina,P4,16
Argentina,R1,3
Armenia,A2,14
Armenia,B1/B2,"1,050"
Armenia,D,1
Armenia,E2,1
Armenia,F1,23
Armenia,F2,1
Armenia,G2,1
Armenia,G4,2
Armenia,H1B,5
Armenia,H4,7
Armenia,I,3
Armenia,J1,7
Armenia,J2,1
Armenia,K1,9
Armenia,K2,2
Armenia,L1,2
Armenia,L2,6
Armenia,O1,4
Armenia,O2,5
Armenia,O3,2
Armenia,P1,2
Armenia,P3,4
Australia,A1,18
Australia,A2,460
Australia,B1,6
Australia,B1/B2,676
Australia,B2,1
Australia,C1,3
Australia,C1/D,163
Australia,C3,4
Australia,E1,2
Australia,E2,21
Australia,E3,358
Australia,E3D,288
Australia,E3R,242
Australia,F1,214
Australia,F2,10
Australia,G1,2
Australia,G2,8
Australia,G4,9
Australia,H1B,42
Australia,H4,21
Australia,I,31
Australia,J1,110
Australia,J2,14
Australia,K1,30
Australia,K2,1
Australia,L1,80
Australia,L2,85
Australia,M1,18
Australia,M2,4
Australia,O1,59
Australia,O2,25
Australia,O3,7
Australia,P1,54
Australia,P4,5
Australia,R1,6
Australia,TD,2
Austria,A1,1
Austria,A2,31
Austria,B1/B2,279
Austria,C1,1
Austria,C1/D,55
Austria,E1,5
Austria,E2,31
Austria,F1,71
Austria,G2,4
Austria,G4,6
Austria,H1B,6
Austria,H2A,2
Austria,H4,5
Austria,I,5
Austria,J1,194
Austria,J2,7
Austria,K1,6
Austria,L1,35
Austria,L2,9
Austria,M1,3
Austria,O1,14
Austria,O2,2
Austria,O3,3
Austria,P1,7
Austria,P3,3
Azerbaijan,A1,5
Azerbaijan,A2,23
Azerbaijan,B1,1
Azerbaijan,B1/B2,802
Azerbaijan,C1/D,18
Azerbaijan,E2,9
Azerbaijan,F1,241
Azerbaijan,F2,17
Azerbaijan,G2,8
Azerbaijan,G4,6
Azerbaijan,H1B,4
Azerbaijan,H4,2
Azerbaijan,J1,16
Azerbaijan,K1,2
Azerbaijan,L1,6
Azerbaijan,L2,5
Azerbaijan,O1,1
"Bahamas, The",A1,4
"Bahamas, The",A2,3
"Bahamas, The",B1,1
"Bahamas, The",B1/B2,"1,122"
"Bahamas, The",B2,1
"Bahamas, The",C1,3
"Bahamas, The",C1/D,5
"Bahamas, The",C3,4
"Bahamas, The",D,1
"Bahamas, The",F1,194
"Bahamas, The",F2,1
"Bahamas, The",G2,1
"Bahamas, The",G4,1
"Bahamas, The",H1B,11
"Bahamas, The",H4,2
"Bahamas, The",J2,1
"Bahamas, The",L1,1
"Bahamas, The",M1,3
"Bahamas, The",O1,1
"Bahamas, The",O3,2
"Bahamas, The",P1,1
Bahrain,A2,10
Bahrain,B1,1
Bahrain,B1/B2,333
Bahrain,C1/D,2
Bahrain,F1,11
Bahrain,G1,3
Bahrain,G2,47
Bahrain,G4,1
Bahrain,H1B,2
Bahrain,H4,2
Bahrain,J1,5
Bahrain,K1,1
Bahrain,L1,1
Bahrain,L2,5
Bahrain,O2,1
Bangladesh,A1,2
Bangladesh,A2,37
Bangladesh,B1,14
Bangladesh,B1/B2,"1,292"
Bangladesh,B2,1
Bangladesh,C1/D,43
Bangladesh,C3,18
Bangladesh,E2,1
Bangladesh,F1,534
Bangladesh,F2,136
Bangladesh,G1,11
Bangladesh,G2,24
Bangladesh,G4,8
Bangladesh,H1B,21
Bangladesh,H4,21
Bangladesh,I,34
Bangladesh,J1,31
Bangladesh,J2,13
Bangladesh,K1,4
Bangladesh,L1,7
Bangladesh,L2,10
Bangladesh,O1,1
Bangladesh,O3,1
Bangladesh,P3,9
Bangladesh,TD,2
Barbados,A1,1
Barbados,B1,1
Barbados,B1/B2,"1,086"
Barbados,B2,6
Barbados,C1,2
Barbados,C1/D,4
Barbados,C3,1
Barbados,F1,30
Barbados,G2,1
Barbados,G4,1
Barbados,H1B,3
Barbados,H4,3
Barbados,J1,5
Barbados,J2,1
Barbados,L1,2
Barbados,L2,2
Barbados,O2,1
Barbados,P1,1
Barbados,R1,1
Belarus,A1,6
Belarus,A2,1
Belarus,B1,1
Belarus,B1/B2,649
Belarus,C1/D,34
Belarus,F1,53
Belarus,F2,3
Belarus,G2,7
Belarus,G4,9
Belarus,H1B,1
Belarus,H4,4
Belarus,J1,11
Belarus,K1,7
Belarus,L1,9
Belarus,L2,8
Belarus,O1,3
Belarus,O2,1
Belarus,O3,1
Belarus,P1,25
Belarus,P4,1
Belarus,R1,2
Belgium,A1,4
Belgium,A2,6
Belgium,B1/B2,296
Belgium,C1/D,66
Belgium,E1,1
Belgium,E2,13
Belgium,F1,139
Belgium,G1,2
Belgium,G2,7
Belgium,G3,10
Belgium,G4,17
Belgium,H1B,13
Belgium,H2A,1
Belgium,H4,2
Belgium,I,17
Belgium,J1,94
Belgium,J2,5
Belgium,K1,3
Belgium,L1,41
Belgium,L2,36
Belgium,M1,3
Belgium,NATO2,65
Belgium,NATO4,4
Belgium,NATO6,2
Belgium,O1,14
Belgium,O2,11
Belgium,O3,4
Belgium,P1,26
Belgium,P3,1
Belgium,Q1,1
Belgium,R1,1
Belgium,R2,2
Belize,A2,24
Belize,B1/B2,738
Belize,B2,1
Belize,C1,12
Belize,C1/D,3
Belize,C3,26
Belize,F1,19
Belize,F2,1
Belize,G4,1
Belize,H1B,1
Belize,H4,1
Belize,J1,2
Belize,K1,6
Belize,R1,1
Benin,A2,6
Benin,B1,1
Benin,B1/B2,249
Benin,C3,1
Benin,F1,23
Benin,G2,1
Benin,G4,8
Benin,J1,4
Benin,K1,2
Bermuda,B1/B2,14
Bermuda,F1,9
Bermuda,H1B,2
Bermuda,I,1
Bermuda,K1,1
Bermuda,M1,1
Bermuda,P1,1
Bhutan,A1,2
Bhutan,A2,5
Bhutan,B1/B2,75
Bhutan,F1,17
Bhutan,F2,2
Bhutan,G2,13
Bhutan,H3,1
Bhutan,J1,3
Bhutan,J2,1
Bolivia,A1,4
Bolivia,A2,2
Bolivia,B1,7
Bolivia,B1/B2,"2,832"
Bolivia,C1,3
Bolivia,C1/D,31
Bolivia,C3,2
Bolivia,E1,1
Bolivia,E2,1
Bolivia,F1,40
Bolivia,F2,4
Bolivia,G4,10
Bolivia,H1B,4
Bolivia,H4,1
Bolivia,J1,26
Bolivia,J2,3
Bolivia,K1,7
Bolivia,K2,1
Bolivia,L1,2
Bolivia,L2,4
Bolivia,O1,1
Bolivia,O2,1
Bolivia,P1,3
Bolivia,P3,9
Bolivia,R1,4
Bosnia-Herzegovina,A1,1
Bosnia-Herzegovina,A2,5
Bosnia-Herzegovina,B1,7
Bosnia-Herzegovina,B1/B2,362
Bosnia-Herzegovina,C1/D,17
Bosnia-Herzegovina,E2,10
Bosnia-Herzegovina,F1,21
Bosnia-Herzegovina,G2,1
Bosnia-Herzegovina,G4,3
Bosnia-Herzegovina,H1B,2
Bosnia-Herzegovina,H4,4
Bosnia-Herzegovina,I,3
Bosnia-Herzegovina,J1,12
Bosnia-Herzegovina,K1,12
Bosnia-Herzegovina,L1,2
Bosnia-Herzegovina,O1,1
Bosnia-Herzegovina,O2,1
Bosnia-Herzegovina,P1,1
Bosnia-Herzegovina,P3,4
Bosnia-Herzegovina,P4,1
Bosnia-Herzegovina,R1,2
Bosnia-Herzegovina,R2,4
Botswana,A2,6
Botswana,B1/B2,73
Botswana,C1/D,1
Botswana,F1,28
Botswana,F2,2
Botswana,G2,1
Botswana,G3,1
Botswana,G4,1
Botswana,H1B,2
Botswana,H4,2
Botswana,J1,9
Botswana,M1,1
Botswana,O1,1
Botswana,O3,2
Brazil,A1,16
Brazil,A2,242
Brazil,A3,1
Brazil,B1,279
Brazil,B1/B2,"104,688"
Brazil,B2,6
Brazil,C1,33
Brazil,C1/D,407
Brazil,C3,22
Brazil,E2,23
Brazil,F1,544
Brazil,F2,101
Brazil,G1,6
Brazil,G2,57
Brazil,G4,55
Brazil,H1B,157
Brazil,H2A,13
Brazil,H2B,2
Brazil,H4,138
Brazil,I,27
Brazil,J1,797
Brazil,J2,139
Brazil,K1,90
Brazil,K2,11
Brazil,L1,427
Brazil,L2,591
Brazil,M1,59
Brazil,M2,3
Brazil,O1,154
Brazil,O2,59
Brazil,O3,63
Brazil,P1,112
Brazil,P3,22
Brazil,P4,18
Brazil,R1,35
Brazil,R2,13
Brazil,TD,2
British National Overseas (Hong Kong) Passport,B1/B2,296
British National Overseas (Hong Kong) Passport,C1/D,2
British National Overseas (Hong Kong) Passport,F1,3
British National Overseas (Hong Kong) Passport,H1B,2
British National Overseas (Hong Kong) Passport,I,1
British National Overseas (Hong Kong) Passport,J1,2
British National Overseas (Hong Kong) Passport,L1,1
British National Overseas (Hong Kong) Passport,O1,1
British National Overseas (Hong Kong) Passport,R1,1
British Virgin Islands,B1/B2,3
British Virgin Islands,F1,1
British Virgin Islands,H1B,1
British Virgin Islands,O1,1
Brunei,A2,10
Brunei,G2,20
Brunei,I,5
Brunei,J1,9
Bulgaria,A2,15
Bulgaria,B1,23
Bulgaria,B1/B2,"1,216"
Bulgaria,C1,1
Bulgaria,C1/D,52
Bulgaria,E2,9
Bulgaria,F1,38
Bulgaria,G2,1
Bulgaria,G3,1
Bulgaria,G4,2
Bulgaria,H1B,5
Bulgaria,H2A,1
Bulgaria,I,7
Bulgaria,J1,12
Bulgaria,J2,2
Bulgaria,K1,10
Bulgaria,L1,10
Bulgaria,L2,6
Bulgaria,M1,1
Bulgaria,NATO2,11
Bulgaria,O1,2
Bulgaria,O3,1
Bulgaria,P1,1
Bulgaria,P3,3
Burkina Faso,A1,1
Burkina Faso,A2,2
Burkina Faso,B1/B2,412
Burkina Faso,F1,24
Burkina Faso,G1,4
Burkina Faso,G2,1
Burkina Faso,G4,7
Burkina Faso,H1B,1
Burkina Faso,J1,11
Burkina Faso,K1,6
Burkina Faso,K2,1
Burkina Faso,L2,1
Burma,A1,1
Burma,B1,12
Burma,B1/B2,282
Burma,C1,131
Burma,D,359
Burma,F1,216
Burma,F2,21
Burma,H1B,3
Burma,H3,1
Burma,H4,1
Burma,J1,30
Burma,J2,3
Burma,K1,35
Burma,K2,4
Burma,L1,4
Burma,L2,1
Burma,R1,1
Burundi,A1,1
Burundi,A2,9
Burundi,B1,1
Burundi,B1/B2,39
Burundi,C1,1
Burundi,C3,2
Burundi,F1,18
Burundi,G2,2
Burundi,G4,7
Burundi,H1B,1
Burundi,K1,2
Burundi,K2,1
Burundi,O1,1
Cabo Verde,A2,3
Cabo Verde,A3,1
Cabo Verde,B1/B2,356
Cabo Verde,C1/D,1
Cabo Verde,F1,2
Cabo Verde,G2,1
Cabo Verde,K1,9
Cabo Verde,K2,7
Cabo Verde,L1,1
Cabo Verde,M1,1
Cabo Verde,P3,5
Cambodia,A1,9
Cambodia,A2,27
Cambodia,B1,5
Cambodia,B1/B2,"1,015"
Cambodia,C1,10
Cambodia,D,8
Cambodia,F1,133
Cambodia,G2,17
Cambodia,G4,5
Cambodia,H4,1
Cambodia,I,1
Cambodia,J1,17
Cambodia,K1,48
Cambodia,K2,9
Cambodia,R1,1
Cameroon,A2,4
Cameroon,B1/B2,724
Cameroon,B2,1
Cameroon,C1,2
Cameroon,C1/D,9
Cameroon,C3,1
Cameroon,F1,116
Cameroon,F2,5
Cameroon,G1,9
Cameroon,G2,10
Cameroon,G4,29
Cameroon,H1B,8
Cameroon,H4,18
Cameroon,I,1
Cameroon,J1,37
Cameroon,J2,11
Cameroon,K1,18
Cameroon,K2,2
Cameroon,L1,4
Cameroon,L2,6
Cameroon,P1,2
Cameroon,R1,9
Canada,A1,34
Canada,A2,5
Canada,B1/B2,18
Canada,E1,77
Canada,E2,698
Canada,E3D,6
Canada,F1,36
Canada,F2,2
Canada,G1,9
Canada,G4,57
Canada,H1B,5
Canada,H4,20
Canada,I,3
Canada,J1,15
Canada,J2,1
Canada,K1,44
Canada,K2,5
Canada,L1,8
Canada,L2,16
Canada,M1,3
Canada,NATO2,61
Canada,NATO4,1
Canada,NATO6,7
Canada,O1,6
Canada,O2,1
Canada,O3,3
Canada,P1,7
Canada,P3,1
Canada,R1,7
Canada,TD,1
Canada,TN,2
Cayman Islands,B1/B2,106
Cayman Islands,C1/D,2
Cayman Islands,F1,17
Central African Republic,A2,2
Central African Republic,B1/B2,9
Central African Republic,F1,1
Central African Republic,G4,1
Central African Republic,K1,1
Chad,A2,1
Chad,B1/B2,145
Chad,B2,1
Chad,F1,5
Chad,G2,4
Chad,G4,5
Chad,J1,2
Chad,T3,3
Chile,A2,66
Chile,B1,28
Chile,B1/B2,"1,002"
Chile,C1,3
Chile,C1/D,122
Chile,C3,5
Chile,E2,12
Chile,F1,160
Chile,F2,14
Chile,G1,4
Chile,G2,13
Chile,G4,11
Chile,H1B,31
Chile,H1B1,230
Chile,H4,210
Chile,I,14
Chile,J1,532
Chile,J2,27
Chile,K1,5
Chile,L1,36
Chile,L2,51
Chile,M1,6
Chile,O1,8
Chile,O2,2
Chile,O3,15
Chile,P1,4
Chile,P3,2
Chile,R1,5
Chile,R2,2
China - mainland,A1,43
China - mainland,A2,48
China - mainland,B1,278
China - mainland,B1/B2,"73,723"
China - mainland,B2,12
China - mainland,C1,50
China - mainland,C1/D,"1,011"
China - mainland,C3,4
China - mainland,CW1,2
China - mainland,CW2,1
China - mainland,D,1
China - mainland,E2,17
China - mainland,E2C,1
China - mainland,E3D,8
China - mainland,F1,"5,535"
China - mainland,F2,149
China - mainland,G1,14
China - mainland,G2,17
China - mainland,G4,98
China - mainland,G5,1
China - mainland,H1B,"2,062"
China - mainland,H4,389
China - mainland,I,10
China - mainland,J1,"1,043"
China - mainland,J2,240
China - mainland,K1,77
China - mainland,K2,5
China - mainland,L1,650
China - mainland,L2,528
China - mainland,M1,2
China - mainland,O1,154
China - mainland,O2,241
China - mainland,O3,18
China - mainland,P1,42
China - mainland,P3,288
China - mainland,P4,4
China - mainland,Q1,15
China - mainland,R1,1
China - mainland,R2,2
China - mainland,T3,3
China - mainland,TD,12
Colombia,A1,5
Colombia,A2,497
Colombia,A3,2
Colombia,B1,33
Colombia,B1/B2,"45,291"
Colombia,B2,2
Colombia,C1,16
Colombia,C1/D,348
Colombia,E1,9
Colombia,E2,37
Colombia,F1,488
Colombia,F2,52
Colombia,G1,3
Colombia,G2,15
Colombia,G4,60
Colombia,G5,2
Colombia,H1B,110
Colombia,H2A,32
Colombia,H2B,47
Colombia,H3,1
Colombia,H4,67
Colombia,I,18
Colombia,J1,477
Colombia,J2,60
Colombia,K1,187
Colombia,K2,51
Colombia,L1,94
Colombia,L2,128
Colombia,M1,19
Colombia,M2,1
Colombia,O1,37
Colombia,O2,72
Colombia,O3,27
Colombia,P1,49
Colombia,P3,16
Colombia,P4,12
Colombia,R1,17
Colombia,R2,7
Colombia,TD,2
Colombia,U1,1
Comoros,A1,4
Comoros,A2,1
Comoros,B1/B2,5
Comoros,G1,1
Comoros,G2,19
Comoros,G4,3
Comoros,J2,1
"Congo, Democratic Republic of the",A2,17
"Congo, Democratic Republic of the",B1/B2,436
"Congo, Democratic Republic of the",C1,1
"Congo, Democratic Republic of the",C1/D,1
"Congo, Democratic Republic of the",F1,147
"Congo, Democratic Republic of the",G2,73
"Congo, Democratic Republic of the",G4,3
"Congo, Democratic Republic of the",H4,1
"Congo, Democratic Republic of the",J1,6
"Congo, Democratic Republic of the",K1,16
"Congo, Democratic Republic of the",K2,3
"Congo, Democratic Republic of the",L1,1
"Congo, Democratic Republic of the",P1,2
"Congo, Democratic Republic of the",P3,1
"Congo, Democratic Republic of the",R1,2
"Congo, Republic of the",A1,3
"Congo, Republic of the",A2,6
"Congo, Republic of the",B1/B2,116
"Congo, Republic of the",C1/D,1
"Congo, Republic of the",F1,12
"Congo, Republic of the",G2,19
"Congo, Republic of the",G4,2
"Congo, Republic of the",K1,1
"Congo, Republic of the",P3,1
Costa Rica,A1,2
Costa Rica,A2,22
Costa Rica,B1/B2,"6,495"
Costa Rica,C1,1
Costa Rica,C1/D,35
Costa Rica,C3,1
Costa Rica,E2,3
Costa Rica,F1,49
Costa Rica,G1,1
Costa Rica,G2,5
Costa Rica,G4,16
Costa Rica,G5,2
Costa Rica,H1B,14
Costa Rica,H2A,29
Costa Rica,H2B,27
Costa Rica,H4,8
Costa Rica,I,1
Costa Rica,J1,29
Costa Rica,J2,5
Costa Rica,K1,19
Costa Rica,K2,3
Costa Rica,L1,26
Costa Rica,L2,22
Costa Rica,M1,1
Costa Rica,O1,4
Costa Rica,O2,1
Costa Rica,P1,2
Costa Rica,R1,4
Costa Rica,R2,1
Cote d'Ivoire,A1,19
Cote d'Ivoire,A2,21
Cote d'Ivoire,B1/B2,585
Cote d'Ivoire,C1,3
Cote d'Ivoire,C1/D,4
Cote d'Ivoire,F1,47
Cote d'Ivoire,F2,1
Cote d'Ivoire,G1,7
Cote d'Ivoire,G2,7
Cote d'Ivoire,G4,14
Cote d'Ivoire,H1B,7
Cote d'Ivoire,I,1
Cote d'Ivoire,J1,10
Cote d'Ivoire,J2,2
Cote d'Ivoire,K1,8
Cote d'Ivoire,L2,1
Cote d'Ivoire,P3,6
Cote d'Ivoire,R1,2
Cote d'Ivoire,R2,1
Croatia,A2,5
Croatia,B1,8
Croatia,B1/B2,61
Croatia,C1/D,35
Croatia,E2,1
Croatia,E3D,1
Croatia,F1,24
Croatia,F2,3
Croatia,G2,7
Croatia,G4,1
Croatia,G5,1
Croatia,H1B,4
Croatia,I,2
Croatia,J1,16
Croatia,K1,4
Croatia,L1,17
Croatia,L2,4
Croatia,NATO2,1
Croatia,O1,3
Croatia,O2,1
Croatia,P1,2
Croatia,P4,1
Cuba,A1,16
Cuba,B1,92
Cuba,B1/B2,160
Cuba,B2,575
Cuba,C1,2
Cuba,F1,8
Cuba,F2,1
Cuba,G1,8
Cuba,G2,10
Cuba,G4,1
Cuba,J1,3
Cuba,J2,1
Cuba,K1,55
Cuba,K2,15
Cuba,O1,2
Cuba,O3,1
Cuba,P1,10
Cuba,P3,3
Cyprus,A2,8
Cyprus,B1/B2,308
Cyprus,C1/D,13
Cyprus,F1,21
Cyprus,G2,7
Cyprus,G4,2
Cyprus,H1B,4
Cyprus,H3,1
Cyprus,I,1
Cyprus,J1,7
Cyprus,L1,1
Cyprus,M1,2
Cyprus,O1,1
Czech Republic,A2,13
Czech Republic,B1,2
Czech Republic,B1/B2,144
Czech Republic,C1/D,21
Czech Republic,E2,25
Czech Republic,E3,2
Czech Republic,F1,103
Czech Republic,F2,1
Czech Republic,G1,4
Czech Republic,G2,17
Czech Republic,G4,1
Czech Republic,H1B,6
Czech Republic,I,10
Czech Republic,J1,102
Czech Republic,J2,11
Czech Republic,K1,5
Czech Republic,L1,23
Czech Republic,L2,14
Czech Republic,M1,1
Czech Republic,M2,1
Czech Republic,NATO2,21
Czech Republic,O1,2
Czech Republic,P1,35
Czech Republic,P4,8
